datetime,city,state,number,country,shape,duration(seconds),duration(hours/min),comments,dateposted,latitude,longitude
10/31/1998 22:24,brampton (canada),on,1,Canada,circle,34,25-34 secs,On hallowe&#39en 1998 my friend Jessica and I seen a flying what seemed to  be an alien space craft that was there for NO longer than 35 s,12-02-00,43.683333,-79.766667
10/31/1999 00:30,houston,tx,1,United States,cylinder,60,one min.,Object with bright lights(white) on both ends&#44 with a red in blue light just behind the white lights on both ends.  Moving slowly north,11-09-99,29.7630556,-95.3630556
10/31/1999 09:30,san diego  (spring valley) (20 mi. e of sd airport),Canada,1,United States,fireball,45,45 seconds,Wife driving in car sited orange fireball size of thumb at arms length. moving from west to east movig 1/3 of sky in 45 sec.length of t,11-02-99,32.7152778,-117.1563889
10/31/1999 17:30,denver,co,1,United States,sphere,300,5 minutes,While visiting relatives in Denver Colorado on the outskirts of the city my daughter and her boy friend pointed to the sky just above t,11-09-99,39.7391667,-104.9841667
10/31/1999 18:00,rochelle,il,1,United States,fireball,4,4 seconds,While driving into Rochelle...saw a glowing ball of light falling over a cornfield and disappearing into a V-Shaped opening in the sky.,6/21/2000,41.9238889,-89.0686111
10/31/1999 18:15,graham,wa,1,United States,other,60,1 minute +,Object in sky appeared to be on fire moved at slow steady pace straight toward the Earth.,11-09-99,47.0530556,-122.2930556
10/31/1999 18:45,nassau,ny,1,United States,triangle,600,10 minutes,Triangular object seen hovering over my car making no sound at alll&#44 viewed by myself and my daughter,05-12-09,42.5158333,-73.6105556
10/31/1999 19:00,clinton (southern end of whidbey island),wa,1,United States,unknown,1800,30 minutes,Object viewed (at night) multi-colored lights(very bright&#44 strobe-like),11-02-99,47.9786111,-122.3544444
10/31/1999 19:30,imperial beach,Canada,1,United States,fireball,300,5minutes,A ROUND CIRCULAR SHAPE OBJECT LARGER THAN A AIRPLANE HOVERED OVER A RESIDENTIAL AREA FOR ABOUT 5MINUTES.BRIGHT RED LIGHT ILLUMINATED TH,11-02-99,32.5838889,-117.1122222
10/31/1999 20:00,auburn,ga,1,United States,rectangle,300,5 minutes,We noticed a bright lime green colored object coming across the sky right above the tree tops.  It went slowly across the sky from nort,11/23/1999,34.0136111,-83.8277778
10/31/1999 20:30,auburn,ga,1,United States,circle,300,5 minutes,We all noticed a green light coming across the sky that was practically touching the trees.  This object had no sound&#44 was completely g,11/17/1999,34.0136111,-83.8277778
10/31/1999 21:30,billings,mt,1,United States,Unknown,15,10/15seconds,weather conditons were winds gusting 40/45 mph when all power went off in area&#44 we stepped outside and immediatly nsaw 8/10 large red l,11-02-99,45.7833333,-108.5
10/31/1999 23:48,turner,or,1,United States,circle,300,5 minuets,Glowing red circle&#44 abotu 15 ft. above the ground.  Shot quickly across the sky than disapeared in about 5 minuets.,11/17/1999,44.8433333,-122.9516667
10/31/2000 07:00,boise,id,1,United States,circle,240,4 minutes,Halloween UFO,5/29/2012,43.6136111,-116.2025
10/31/2000 16:30,roseville,Canada,1,United States,circle,60,one minute,Around Halloween my two daughters and I were driving home from work on Atlantic Street in Roseville&#44 CA.  As we approached I-80 heading,12-02-00,38.7522222,-121.2869444
10/31/2000 17:30,channing,mi,1,United States,disk,60,1 minute,saucer shaped  flew across sky in Channing&#44 MI on 10/31/00 at 17:30.,12-02-00,46.1416667,-88.0938889
10/31/2000 18:30,fostoria,oh,1,United States,changing,30,30 seconds,Between 1800 and 1900 on Tuesday&#44 October 31&#44 2000&#44 my mother and I both witnessed in the clear night sky what first appeared to be a f,2/18/2001,41.1569444,-83.4169444
10/31/2000 18:30,lansing,mi,1,United States,light,60,1 minute,Several witnesses observed a bright white light moving very fast across the South Lansing sky.,12-02-00,42.7325,-84.5555556
10/31/2000 18:30,noblesville,in,1,United States,light,10,5-10 sec.,A  vary fast moving Jupiter size light&#44 looking north in central Indiana going east to west for about 6-10 seconds.,12-02-00,40.0455556,-86.0086111
10/31/2000 18:30,sterling heights,mi,1,United States,other,60,60 seconds,The object was moving from ESE to WNW and it had many lights,12-02-00,42.5802778,-83.0302778
10/31/2000 18:45,rochester hills,mi,1,United States,fireball,11,11 seconds,Object burning up in atmosphere traveling east to west at high rate of speed,12-02-00,42.6583333,-83.15
10/31/2000 18:45,saginaw,mi,1,United States,fireball,2,seconds,Large&#44 bright  &#39shooting star&#39 going from Northeast to Northwest - 18:30 - 19:15 on Halloween,2/18/2001,43.4194444,-83.9508333
10/31/2000 18:45,south lyon,mi,1,United States,light,10,6-10sec,shooting light over michigan,12-02-00,42.4605556,-83.6516667
10/31/2000 19:00,elyria,oh,1,United States,unknown,20,20 seconds,Shooting star flies by --  1/2 hour later we have what appears to be 8 search aircraft looking in the area.,12-02-00,41.3683333,-82.1077778
10/31/2000 19:00,grand ledge,mi,1,United States,light,30,:20 -:30 sec.,light traveling at high speed North to South-West,12-02-00,42.7533333,-84.7463889
10/31/2000 19:00,perry,mi,1,United States,fireball,15,10-15 seconds,Bright Meteor object Halloween night,12-02-00,42.8263889,-84.2194444
10/31/2000 19:00,pickering (canada),on,1,Canada,light,20,20 secs,Halloween light falling straight down in the sky.,12/20/2000,43.866667,-79.033333
10/31/2000 19:00,pickering (canada),on,1,Canada,light,30,30 sec.,Star like object falling straight down out of the sky.,2/18/2001,43.866667,-79.033333
10/31/2000 19:15,cygnet,oh,1,United States,egg,2700,45 min.,Saw a craft streak across the sky in ohio.,12-02-00,41.24,-83.6433333
10/31/2000 19:15,cygnet,oh,1,United States,egg,2700,45 minutes,The ship crossed the sky&#44 stopped shot up about a half mile&#44 hovered for a while and changed a multitude of colors and departed with us,12-02-00,41.24,-83.6433333
10/31/2000 19:30,amherstburg (canada),on,1,Canada,sphere,45,45secs,giant bright sphere traveling east to west in ontario.,12-02-00,42.1,-83.1
10/31/2000 19:30,riverdale,md,1,United States,diamond,20,20 seconds,Halloween UFO&#33,1/17/2004,39.0991667,-76.5361111
10/31/2000 20:00,sipsey,al,1,United States,disk,60,1 minute,Round&#44 flat UFO with lights all around&#44 over Hwy 78 Walker Co Alabama.,02-01-07,33.8247222,-87.0861111
10/31/2000 20:00,whitmore lake,mi,1,United States,circle,120,2minutes,Bright Light High in the sky&#44 moving faster than any satellite,2/18/2001,42.4394444,-83.7438889
10/31/2001 02:25,rancho cucamonga,Canada,1,United States,fireball,360,6 min.?,fireball /2 nights in a row / no thanks&#33,11/20/2001,34.1063889,-117.5922222
